Controller Latency Test Results 16 Switches Flows/ms),,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
1,4.9304,2.6913,70.26786,37.10429,62.88735,5.9655,28.8244,77.01179,16.9232
2,4.1211,3.7602,87.88723,34.9323,82.54776,6.072,31.94169,77.47092,20.8188
3,4.1262,3.7336,88.31362,38.22712,83.63927,6.0576,31.7624,77.61199,19.158
4,4.3826,3.7702,87.98136,38.6921,85.03187,6.072,30.969,77.76518,19.696
5,4.3674,3.738,88.83676,38.04255,85.11041,6.0889,31.7786,77.73135,22.2824
6,4.0902,3.7674,89.19384,38.60485,83.2527,6.0768,32.0318,78.03025,22.576
7,3.9254,3.7476,91.29216,38.3587,83.56197,6.0723,31.281,77.88398,23.2908
8,4.1335,3.715,89.22598,38.26084,83.05376,6.0517,32.2055,77.42679,23.9588
9,4.035,3.7233,89.80946,38.45885,83.28428,6.048,31.5901,77.39916,23.874
10,4.1253,3.7633,91.84818,38.66619,84.63661,6.0787,30.2664,77.10867,23.8828
11,4.4386,3.7513,89.41563,38.1275,83.70322,6.0323,30.1515,77.61318,23.9012
12,4.0208,3.7484,87.34512,38.4718,84.1323,6.048,32.0672,77.83288,23.5576
13,4.0236,3.7618,88.87991,35.8474,84.00201,6.0482,32.0785,75.63765,23.3424
14,4.0907,3.7703,87.74286,38.3578,84.29481,6.025,31.7455,76.02542,23.494
15,4.4759,3.7028,89.21578,36.73189,82.74656,6.0336,30.9873,75.96955,23.1418
16,4.0368,3.7076,88.36118,37.127,84.79363,6.0483,30.6973,76.38735,23.1932
17,4.0275,3.7676,89.31159,36.86095,83.76963,6.0546,32.2529,74.23729,23.2136
18,4.2895,3.754,89.2287,35.5239,85.06628,6.0594,31.9137,75.64125,23.3364
19,4.27719,3.7596,90.36191,37.5829,83.02672,6.0272,31.4795,77.80945,23.2412
20,4.0236,3.7508,89.68343,37.99605,83.36148,6.0608,31.7961,77.02138,23.202
,,,,,,,,,
Controller Throughput Test Results 16 Switches Flows/ms),,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
1,1.924,4.669,99.554597,82.097097,159.427368,8.885217,119.274393,99.34334,83.235212
2,2.767622,5.124,140.678933,108.253051,383.020325,9.028417,148.070186,101.009021,100.691964
3,3.006054,5.124,138.994964,107.764981,478.959559,9.065397,148.014049,101.045579,97.456693
4,7.8479,5.026,137.537417,109.572789,474.293384,8.90277,147.96934,101.16078,97.807394
5,9.192234,4.907,137.454759,106.054424,477.635908,8.956441,147.80688,102.406736,95.378934
6,6.731615,5.107,141.676572,106.887055,475.508446,8.809991,147.948995,102.457457,94.660262
7,6.63657,5.211,139.165036,109.975821,473.705783,8.871305,147.93091,101.653329,96.895305
8,5.887648,5.179,140.60853,106.374083,471.969595,9.043033,147.827922,100.97578,93.239301
9,4.374736,5.323,143.096957,103.919895,477.77557,9.073631,147.837409,102.280187,97.73328
10,5.695686,5.440,140.029304,105.701527,474.508731,9.029314,147.869739,101.163808,98.443189
11,4.350909,5.261,140.671203,106.674369,472.827207,8.912473,147.953261,101.72058,98.124754
12,5.099461,5.531,138.815517,108.325987,478.07672,8.903981,147.929671,101.55677,98.977785
13,4.879178,5.603,140.037521,107.82733,484.083801,8.969618,147.908219,100.945379,101.60239
14,5.104795,5.597,138.558089,108.935958,475.583533,9.034208,147.95747,101.32298,92.906313
15,4.331004,5.616,139.756674,95.835346,475.742867,8.841623,147.824069,101.26167,93.453886
16,5.267209,5.265,141.885031,107.552841,480.959127,8.874549,147.922997,102.07778,94.56985
17,6.381204,5.429,143.92755,110.117879,471.671918,8.882355,147.905404,102.506138,93.684347
18,7.004488,5.333,140.907658,107.064714,475.831491,8.883255,147.801403,102.699025,102.666587
19,6.960476,5.596,138.320986,106.512218,481.849593,8.926679,147.877792,101.507403,91.916776
20,6.306304,5.582,142.082015,105.838403,477.780106,9.047887,147.927288,100.46176,94.775945
,,,,,,,,,
,,,,,,,,,
83235.212,83.235,,,,,,,,
100691.964,100.692,,,,,,,,
97456.693,97.456693,,,,,,,,
97807.394,97.807394,,,,,,,,
95378.934,95.378934,,,,,,,,
94660.262,94.660262,,,,,,,,
96895.305,96.895305,,,,,,,,
93239.301,93.239301,,,,,,,,
97733.28,97.73328,,,,,,,,
98443.189,98.443189,,,,,,,,
98124.754,98.124754,,,,,,,,
98977.785,98.977785,,,,,,,,
101602.39,101.60239,,,,,,,,
92906.313,92.906313,,,,,,,,
93453.886,93.453886,,,,,,,,
94569.85,94.56985,,,,,,,,
93684.347,93.684347,,,,,,,,
102666.587,102.666587,,,,,,,,
91916.776,91.916776,,,,,,,,
94775.945,94.775945,,,,,,,,
