Controller Latency Test Results per Switches,,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
2 Switch,4.06548,1.26209,50.2388,14.78465,40.01731,5.33974,18.31297,60.94966,15.89359
4 Switch,4.02232,2.01797,69.3393,24.90708,61.5115,5.54786,27.92567,74.31942,21.30206
8 Switch,4.17784,2.93182,67.54839,32.01389,76.19199,5.87622,28.24372,75.64005,22.73411
16 Switch,4.16181,3.74514,89.12513,33.31965,84.00496,6.05596,31.5261,76.89387,22.86869
,,,,,,,,,
,,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
2 switches,6.810,4.860,92.50617,87.69975,175.36908,8.98541,147.31026,93.53185,104.97825
4 switches,6.83361,5.157,164.00241,84.6147,314.84836,9.13905,147.63379,94.43019,105.18534
8 switches,7.1128,5.316,183.91857,90.10241,505.05974,9.30377,147.94072,101.55051,104.99796
16 switches,5.73692,5.306,140.19517,106.78656,476.19585,8.94087,147.91047,101.70212,96.72502
