packet_in_out.dat {OF msgs from controller/sec },,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
10,427,427,423,110,350,49,231,826,194
20,535,248,528,329,353,119,161,616,117
30,528,392,560,189,329,98,122,633,109
40,444,630,423,486,311,133,77,609,354
50,539,749,563,658,3580,91,91,651,599
60,451,581,399,651,350,84,126,623,127
70,567,385,434,2863,350,84,63,521,651
80,339,591,511,301,350,98,133,416,588
90,329,448,504,899,350,182,84,395,306
100,497,556,304,551,350,63,133,626,389
110,399,1228,742,345,350,105,112,616,417
120,497,280,325,339,350,84,112,325,379
130,472,584,406,1050,350,91,98,661,214
140,514,1725,364,659,350,91,91,521,197
150,493,595,654,312,346,91,98,336,147
160,448,591,427,108,346,105,73,409,123
170,826,1179,458,1032,350,63,119,427,224
180,213,637,262,504,2705,126,84,416,317
190,119,325,105,528,343,98,94,693,693
200,210,511,283,346,350,108,119,553,104
210,490,532,490,217,350,112,42,584,125
220,283,826,245,385,346,147,105,647,198
230,119,252,535,192,350,91,140,514,244
240,42,525,469,321,350,119,122,458,203
250,50,462,402,176,385,56,56,637,173
260,31,413,294,182,311,70,119,507,190
270,38,1697,343,234,350,98,98,388,106
280,633,1743,371,864,350,70,105,619,298
290,759,451,392,668,350,87,94,535,566
300,234,1344,210,385,343,49,98,434,309
