Controller Throughput Test Results,,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
1,224.671,180.574,1007.45,707.591,486.336,443.756,341.771,360.504,342.125
2,41.384,102.272,464.271,702.481,630.297,100.862,268.928,326.305,329.982
3,39.623,91.885,430.245,737.629,644.05,173.69,271.935,326.305,328.062
4,45.856,99.875,355.365,714.622,555.907,48.236,275.612,327.742,327.106
5,27,102.272,415.996,676.267,551.18,48.236,269.612,326.464,327.265
,,,,,,,,,
,,,,,,,,,
Controller Latency Test Result,,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
1,9.924,6.669,10.7994,12.097097,10.2409,9.8942,14.21,8.9164,9.3403
2,8.367622,5.127,10.5131,11.253051,10.4332,9.628,9.6401,9.4402,9.6759
3,8.006054,5.124,9.9436,10.764981,9.3073,9.4482,9.4664,9.3609,9.7055
4,7.8479,5.026,9.9769,10.572789,10.026,9.8597,9.8083,9.4135,9.6571
5,7.192234,4.907,10.5537,10.054424,10.3415,9.3437,9.913,9.492,9.6876
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"342,125",0,342125.000,342.125,,,,,,
"329,982",0,329982.000,329.982,,,,,,
"328,062",0,328062.000,328.062,,,,,,
"327,106",0,327106.000,327.106,,,,,,
"327,265",0,327265.000,327.265,,,,,,
