S.No,Iteration,Group Name,Switch Id,Setup time (ms),Tx Packet,Rx Packet,Previous Rx
1,1,16 Switch,S1,1053.105,92684,77,2,
2,1,16 Switch,S2,1052.807,91086,1411,2,
3,1,16 Switch,S3,1052.350,162996,0,0,
4,1,16 Switch,S4,1052.255,151810,478,0,
5,1,16 Switch,S5,1051.610,132634,64,0,
6,1,16 Switch,S6,1051.553,91086,175,0,
7,1,16 Switch,S7,1051.501,183770,58,0,
8,1,16 Switch,S8,1051.425,99076,45,2,
9,2,16 Switch,S1,,55131,2501,2498,
10,2,16 Switch,S2,,48739,3587,3579,
11,2,16 Switch,S3,,59126,1810,1805,
12,2,16 Switch,S4,,51136,724,723,
13,2,16 Switch,S5,,50337,1514,1509,
14,2,16 Switch,S6,,51935,1908,1901,
15,2,16 Switch,S7,,67915,3521,3513,
16,2,16 Switch,S8,,61523,2864,2858,
17,3,16 Switch,S1,,50337,12604,12594,
18,3,16 Switch,S2,,48739,2730,2720,
19,3,16 Switch,S3,,51136,2567,2559,
20,3,16 Switch,S4,,48739,2337,2329,
21,3,16 Switch,S5,,47141,2501,2492,
22,3,16 Switch,S6,,52734,2303,2296,
23,3,16 Switch,S7,,52734,2238,2232,
24,3,16 Switch,S8,,48739,2666,2661,
25,4,16 Switch,S1,,37553,7848,7844,
26,4,16 Switch,S2,,44744,1,0,
27,4,16 Switch,S3,,42347,2599,2593,
28,4,16 Switch,S4,,40749,1645,1640,
29,4,16 Switch,S5,,43945,2798,2791,
30,4,16 Switch,S6,,41548,1580,1576,
31,4,16 Switch,S7,,41548,2238,2231,
32,4,16 Switch,S8,,42347,1875,1872,
33,5,16 Switch,S1,,47940,13312,13300,
34,5,16 Switch,S2,,43146,2,0,
35,5,16 Switch,S3,,49538,2731,2726,
36,5,16 Switch,S4,,48739,2468,2462,
37,5,16 Switch,S5,,51935,1972,1965,
38,5,16 Switch,S6,,51136,2797,2786,
39,5,16 Switch,S7,,45543,1285,1280,
40,5,16 Switch,S8,,49538,3914,3901,
