S.No,Iteration,Group Name,Switch Id,Setup time (ms),Tx Packet,Rx Packet,Previous Rx
1,1,16 Switches,S1,1059.508,46501,0,NA,
2,1,16 Switches,S2,1059.209,46501,0,NA,
3,1,16 Switches,S3,1059.173,46501,0,NA,
4,1,16 Switches,S4,1059.130,46501,0,NA,
5,1,16 Switches,S5,1057.962,44584,0,NA,
6,1,16 Switches,S6,1057.911,44584,1,NA,
7,1,16 Switches,S7,1057.899,44584,0,NA,
8,1,16 Switches,S8,1057.864,44584,0,NA,
9,1,16 Switches,S9,1058.508,42347,0,NA,
10,1,16 Switches,S10,1058.501,42347,1,NA,
11,1,16 Switches,S11,1058.470,42347,0,NA,
12,1,16 Switches,S12,1058.415,42347,0,NA,
13,1,16 Switches,S13,1056.024,43465,0,NA,
14,1,16 Switches,S14,1056.001,43465,1,NA,
15,1,16 Switches,S15,1055.980,43465,0,NA,
16,1,16 Switches,S16,1055.942,43465,0,NA,
17,2,16 Switches,S1,,42347,0,NA,
18,2,16 Switches,S2,,42347,0,NA,
19,2,16 Switches,S3,,42347,0,NA,
20,2,16 Switches,S4,,42347,0,NA,
21,2,16 Switches,S5,,45543,0,NA,
22,2,16 Switches,S6,,45543,1,NA,
23,2,16 Switches,S7,,45543,0,NA,
24,2,16 Switches,S8,,45543,0,NA,
25,2,16 Switches,S9,,34357,0,NA,
26,2,16 Switches,S10,,34357,0,NA,
27,2,16 Switches,S11,,34357,0,NA,
28,2,16 Switches,S12,,34357,0,NA,
29,2,16 Switches,S13,,53373,0,NA,
30,2,16 Switches,S14,,53373,0,NA,
31,2,16 Switches,S15,,53373,0,NA,
32,2,16 Switches,S16,,53373,0,NA,
33,3,16 Switches,S1,,38032,0,NA,
34,3,16 Switches,S2,,38032,1,NA,
35,3,16 Switches,S3,,38032,0,NA,
36,3,16 Switches,S4,,38032,0,NA,
37,3,16 Switches,S5,,54491,0,NA,
38,3,16 Switches,S6,,54491,0,NA,
39,3,16 Switches,S7,,54491,0,NA,
40,3,16 Switches,S8,,54491,0,NA,
41,3,16 Switches,S9,,53213,0,NA,
42,3,16 Switches,S10,,53213,0,NA,
43,3,16 Switches,S11,,53213,0,NA,
44,3,16 Switches,S12,,53213,0,NA,
45,3,16 Switches,S13,,38671,0,NA,
46,3,16 Switches,S14,,38671,0,NA,
47,3,16 Switches,S15,,38671,0,NA,
48,3,16 Switches,S16,,38671,0,NA,
49,4,16 Switches,S1,,43146,0,NA,
50,4,16 Switches,S2,,43146,0,NA,
51,4,16 Switches,S3,,43146,0,NA,
52,4,16 Switches,S4,,43146,1,NA,
53,4,16 Switches,S5,,49538,0,NA,
54,4,16 Switches,S6,,49538,0,NA,
55,4,16 Switches,S7,,49538,0,NA,
56,4,16 Switches,S8,,49538,0,NA,
57,4,16 Switches,S9,,47300,0,NA,
58,4,16 Switches,S10,,47300,0,NA,
59,4,16 Switches,S11,,47300,0,NA,
60,4,16 Switches,S12,,47300,0,NA,
61,4,16 Switches,S13,,38671,0,NA,
62,4,16 Switches,S14,,38671,1,NA,
63,4,16 Switches,S15,,38671,0,NA,
64,4,16 Switches,S16,,38671,0,NA,
65,5,16 Switches,S1,,36913,0,NA,
66,5,16 Switches,S2,,36913,0,NA,
67,5,16 Switches,S3,,36913,0,NA,
68,5,16 Switches,S4,,36913,0,NA,
69,5,16 Switches,S5,,42986,0,NA,
70,5,16 Switches,S6,,42986,0,NA,
71,5,16 Switches,S7,,42986,1,NA,
72,5,16 Switches,S8,,42986,1,NA,
73,5,16 Switches,S9,,52254,0,NA,
74,5,16 Switches,S10,,52254,0,NA,
75,5,16 Switches,S11,,52254,0,NA,
76,5,16 Switches,S12,,52254,0,NA,
77,5,16 Switches,S13,,36913,0,NA,
78,5,16 Switches,S14,,36913,1,NA,
79,5,16 Switches,S15,,36913,0,NA,
80,5,16 Switches,S16,,36913,0,NA,
