S.No,Iteration,Group Name,Switch Id,Setup time (ms),Tx Packet,Rx Packet,Previous Rx
1,1,16 Switches,S1,6423.117,14701,12467,NA,
2,1,16 Switches,S2,1056.172,33877,13181,NA,
3,1,16 Switches,S3,1055.689,39950,15521,NA,
4,1,16 Switches,S4,1055.642,39151,15371,NA,
5,1,16 Switches,S5,1055.826,31960,10656,NA,
6,1,16 Switches,S6,1055.813,31800,11112,NA,
7,1,16 Switches,S7,1054.771,33398,13107,NA,
8,1,16 Switches,S8,1054.752,38192,15395,NA,
9,2,16 Switches,S1,,82297,56054,NA,
10,2,16 Switches,S2,,85333,61979,NA,
11,2,16 Switches,S3,,19655,9968,NA,
12,2,16 Switches,S4,,19655,16339,NA,
13,2,16 Switches,S5,,82456,24097,NA,
14,2,16 Switches,S6,,74786,31166,NA,
15,2,16 Switches,S7,,43785,36041,NA,
16,2,16 Switches,S8,,44903,27017,NA,
17,3,16 Switches,S1,,59765,44457,NA,
18,3,16 Switches,S2,,56888,44722,NA,
19,3,16 Switches,S3,,73188,38518,NA,
20,3,16 Switches,S4,,62801,5478,NA,
21,3,16 Switches,S5,,69672,39905,NA,
22,3,16 Switches,S6,,71750,44433,NA,
23,3,16 Switches,S7,,18856,15063,NA,
24,3,16 Switches,S8,,18856,17069,NA,
25,4,16 Switches,S1,,45383,25462,NA,
26,4,16 Switches,S2,,45383,29869,NA,
27,4,16 Switches,S3,,44104,18578,NA,
28,4,16 Switches,S4,,45702,15,NA,
29,4,16 Switches,S5,,59925,28626,NA,
30,4,16 Switches,S6,,61203,23671,NA,
31,4,16 Switches,S7,,59126,36204,NA,
32,4,16 Switches,S8,,69193,31289,NA,
33,5,16 Switches,S1,,61682,33175,NA,
34,5,16 Switches,S2,,59605,31284,NA,
35,5,16 Switches,S3,,72868,24322,NA,
36,5,16 Switches,S4,,64559,21,NA,
37,5,16 Switches,S5,,21253,12316,NA,
38,5,16 Switches,S6,,21253,12432,NA,
39,5,16 Switches,S7,,70631,31177,NA,
40,5,16 Switches,S8,,66956,30772,NA,
