S.No,Iteration,Group Name,Switch Id,Setup time (ms),Tx Packet,Rx Packet,Previous Rx
1,1,16 Switch,S1,1054.118,55131,45396,0,
2,1,16 Switch,S2,1053.637,53053,48649,0,
3,1,16 Switch,S3,1053.371,61203,54225,0,
4,1,16 Switch,S4,1053.320,53692,48505,0,
5,1,16 Switch,S5,1052.220,50017,42740,0,
6,1,16 Switch,S6,1052.153,51136,46140,0,
7,1,16 Switch,S7,1052.036,55290,48251,0,
8,1,16 Switch,S8,1052.012,52893,47867,0,
9,1,16 Switch,S9,1048.753,55610,48475,0,
10,1,16 Switch,S10,1048.668,52734,47305,0,
11,1,16 Switch,S11,1048.556,59765,53680,0,
12,1,16 Switch,S12,1048.437,48898,44920,0,
13,1,16 Switch,S13,1049.443,55131,48130,0,
14,1,16 Switch,S14,1049.367,53852,49779,0,
15,1,16 Switch,S15,1049.256,61523,55609,0,
16,1,16 Switch,S16,1049.149,54491,50396,0,
17,2,16 Switch,S1,,55290,51248,0,
18,2,16 Switch,S2,,58646,51616,0,
19,2,16 Switch,S3,,60724,54635,0,
20,2,16 Switch,S4,,63760,57696,0,
21,2,16 Switch,S5,,62641,59125,0,
22,2,16 Switch,S6,,65677,59629,0,
23,2,16 Switch,S7,,69992,61027,0,
24,2,16 Switch,S8,,67915,59874,0,
25,2,16 Switch,S9,,64399,60909,0,
26,2,16 Switch,S10,,66796,60505,0,
27,2,16 Switch,S11,,71910,64552,0,
28,2,16 Switch,S12,,67755,58937,0,
29,2,16 Switch,S13,,56729,52791,0,
30,2,16 Switch,S14,,65198,58519,0,
31,2,16 Switch,S15,,66317,58926,0,
32,2,16 Switch,S16,,63760,56895,0,
33,3,16 Switch,S1,,64079,57957,0,
34,3,16 Switch,S2,,67116,62129,0,
35,3,16 Switch,S3,,68394,54920,0,
36,3,16 Switch,S4,,66476,60426,0,
37,3,16 Switch,S5,,57687,50710,0,
38,3,16 Switch,S6,,64239,55730,0,
39,3,16 Switch,S7,,56569,48495,0,
40,3,16 Switch,S8,,59605,52558,0,
41,3,16 Switch,S9,,61043,54029,0,
42,3,16 Switch,S10,,64239,59363,0,
43,3,16 Switch,S11,,65837,56324,0,
44,3,16 Switch,S12,,64719,57695,0,
45,3,16 Switch,S13,,63280,56949,0,
46,3,16 Switch,S14,,59605,55331,0,
47,3,16 Switch,S15,,66317,59110,0,
48,3,16 Switch,S16,,64399,57906,0,
49,4,16 Switch,S1,,66317,60893,0,
50,4,16 Switch,S2,,63600,57617,0,
51,4,16 Switch,S3,,65677,61149,0,
52,4,16 Switch,S4,,63600,58489,0,
53,4,16 Switch,S5,,62322,57352,0,
54,4,16 Switch,S6,,58007,52312,0,
55,4,16 Switch,S7,,65518,60987,0,
56,4,16 Switch,S8,,61842,56853,0,
57,4,16 Switch,S9,,59605,54416,0,
58,4,16 Switch,S10,,59925,54463,0,
59,4,16 Switch,S11,,58646,53837,0,
60,4,16 Switch,S12,,54491,48677,0,
61,4,16 Switch,S13,,65038,59854,0,
62,4,16 Switch,S14,,64878,59375,0,
63,4,16 Switch,S15,,65837,61703,0,
64,4,16 Switch,S16,,64079,59054,0,
65,5,16 Switch,S1,,68714,62820,0,
66,5,16 Switch,S2,,67116,58652,0,
67,5,16 Switch,S3,,62961,55979,0,
68,5,16 Switch,S4,,67915,61869,0,
69,5,16 Switch,S5,,66636,60980,0,
70,5,16 Switch,S6,,66636,59515,0,
71,5,16 Switch,S7,,62801,54839,0,
72,5,16 Switch,S8,,63121,56530,0,
73,5,16 Switch,S9,,60084,53770,0,
74,5,16 Switch,S10,,59605,52678,0,
75,5,16 Switch,S11,,58327,50497,0,
76,5,16 Switch,S12,,65518,58474,0,
77,5,16 Switch,S13,,66956,60533,0,
78,5,16 Switch,S14,,66157,59106,0,
79,5,16 Switch,S15,,62641,54437,0,
80,5,16 Switch,S16,,65518,58723,0,
