S.No,Iteration,Group Name,Switch Id,Setup time (ms),Tx Packet,Rx Packet,Previous Rx
1,1,16 Switch,S1,1057.838,4794,0,0,
2,1,16 Switch,S2,1057.157,5593,0,0,
3,1,16 Switch,S3,1057.067,4794,0,0,
4,1,16 Switch,S4,1056.971,6392,0,0,
5,1,16 Switch,S5,1056.882,5593,0,0,
6,1,16 Switch,S6,1056.760,5593,0,0,
7,1,16 Switch,S7,1055.827,73508,0,0,
8,1,16 Switch,S8,1055.745,74307,0,0,
9,2,16 Switch,S1,,12784,0,0,
10,2,16 Switch,S2,,12784,0,0,
11,2,16 Switch,S3,,13583,0,0,
12,2,16 Switch,S4,,11985,0,0,
13,2,16 Switch,S5,,12784,0,0,
14,2,16 Switch,S6,,12784,0,0,
15,2,16 Switch,S7,,12784,0,0,
16,2,16 Switch,S8,,12784,0,0,
17,3,16 Switch,S1,,12784,0,0,
18,3,16 Switch,S2,,11186,0,0,
19,3,16 Switch,S3,,11186,0,0,
20,3,16 Switch,S4,,11985,0,0,
21,3,16 Switch,S5,,11186,0,0,
22,3,16 Switch,S6,,11186,0,0,
23,3,16 Switch,S7,,11985,0,0,
24,3,16 Switch,S8,,10387,0,0,
25,4,16 Switch,S1,,11186,0,0,
26,4,16 Switch,S2,,12784,0,0,
27,4,16 Switch,S3,,11985,0,0,
28,4,16 Switch,S4,,12784,0,0,
29,4,16 Switch,S5,,12784,0,0,
30,4,16 Switch,S6,,12784,0,0,
31,4,16 Switch,S7,,11985,0,0,
32,4,16 Switch,S8,,13583,0,0,
33,5,16 Switch,S1,,12784,0,0,
34,5,16 Switch,S2,,12784,0,0,
35,5,16 Switch,S3,,13583,0,0,
36,5,16 Switch,S4,,11985,0,0,
37,5,16 Switch,S5,,12784,0,0,
38,5,16 Switch,S6,,12784,0,0,
39,5,16 Switch,S7,,13583,0,0,
40,5,16 Switch,S8,,11985,0,0,
