S.No,Iteration,Group Name,Switch Id,Setup time (ms),Tx Packet,Rx Packet,Previous Rx
1,1,16 Switch,S1,1056.377,58092,0,0,
2,1,16 Switch,S2,1056.038,55620,0,0,
3,1,16 Switch,S3,1056.149,55620,0,0,
4,1,16 Switch,S4,1056.050,55620,0,0,
5,1,16 Switch,S5,1055.987,55620,0,0,
6,1,16 Switch,S6,1055.898,56238,0,0,
7,1,16 Switch,S7,1055.314,53148,0,0,
8,1,16 Switch,S8,1055.229,53766,32,0,
9,2,16 Switch,S1,,17922,0,0,
10,2,16 Switch,S2,,17304,0,0,
11,2,16 Switch,S3,,16068,0,0,
12,2,16 Switch,S4,,16686,0,0,
13,2,16 Switch,S5,,16068,0,0,
14,2,16 Switch,S6,,16068,0,0,
15,2,16 Switch,S7,,618,32,32,
16,2,16 Switch,S8,,0,96,96,
17,3,16 Switch,S1,,28428,0,0,
18,3,16 Switch,S2,,29046,0,0,
19,3,16 Switch,S3,,29046,0,0,
20,3,16 Switch,S4,,29046,0,0,
21,3,16 Switch,S5,,29046,0,0,
22,3,16 Switch,S6,,29046,0,0,
23,3,16 Switch,S7,,0,16,16,
24,3,16 Switch,S8,,0,16,16,
25,4,16 Switch,S1,,8652,0,0,
26,4,16 Switch,S2,,7416,0,0,
27,4,16 Switch,S3,,8034,0,0,
28,4,16 Switch,S4,,8034,0,0,
29,4,16 Switch,S5,,8034,0,0,
30,4,16 Switch,S6,,8034,0,0,
31,4,16 Switch,S7,,0,16,16,
32,4,16 Switch,S8,,0,16,16,
33,5,16 Switch,S1,,8034,0,0,
34,5,16 Switch,S2,,8034,0,0,
35,5,16 Switch,S3,,8034,0,0,
36,5,16 Switch,S4,,8034,0,0,
37,5,16 Switch,S5,,8034,0,0,
38,5,16 Switch,S6,,8034,0,0,
39,5,16 Switch,S7,,0,16,16,
40,5,16 Switch,S8,,0,16,16,
